Company,Stand,Country/Address,Website,Email 1,Email 2,Phone 1,Phone 2,Bett profile
Anatomage Italy SRL,Hall: North Stand: NJ68,Italy,,,,,,https://uk.bettshow.com/exhibitors/anatomage-italy-srl
ANTON,Hall: South Stand: SS63,Germany,https://anton.app,git@git.solocode.com,,,,https://uk.bettshow.com/exhibitors/anton-app
Applicaa Ltd,Hall: South Stand: SE20,United Kingdom,,,,,,https://uk.bettshow.com/exhibitors/applicaa-1
AQA,Hall: South Stand: SN62,United Kingdom,,,,,,https://uk.bettshow.com/exhibitors/aqa-2
Arbor Education Partners,Hall: South Stand: SJ31,United Kingdom,https://arbor-education.com/,hello@arbor-education.com,,,,https://uk.bettshow.com/exhibitors/arbor-education-partners
Aresline,Hall: North Stand: NM11,Italy,,,,,,https://uk.bettshow.com/exhibitors/ares-line
"Artec Co., Ltd.",Hall: South Stand: SR64,Japan,https://www.artec-kk.co.jp/en/,,,,,https://uk.bettshow.com/exhibitors/artec-co-
Ask Ed,Hall: South Stand: FS41,United Kingdom,,,,,,https://uk.bettshow.com/exhibitors/ask-ed
AspiraCloud,Hall: South Stand: SP53,United Kingdom,https://aspiracloud.com/,hello@aspiracloud.com,info@aspiracloud.com,,,https://uk.bettshow.com/exhibitors/aspiracloud
Asus Global Pte. Ltd,Hall: North Stand: NL21,Singapore,https://www.asus.com/,,,,,https://uk.bettshow.com/exhibitors/asus-global-pte
Audiebant,Hall: South Stand: SF21,United Kingdom,,,,,,https://uk.bettshow.com/exhibitors/audiebant
Avocor,Hall: North Stand: NN41,United Kingdom,http://www.avocor.com,,,,,https://uk.bettshow.com/exhibitors/avocor
B Squared,Hall: North Stand: NK81,United Kingdom,https://bsquared.co.uk/,hello@bsquared.co.uk,sales@bsquared.co.uk,01252 870133,,https://uk.bettshow.com/exhibitors/b-squared
BalanceBox®,Hall: North Stand: NM31,Netherlands,https://balanceboxmounts.com/,contact@balanceboxmounts.com,a.blochwitz@balanceboxmounts.com,,,https://uk.bettshow.com/exhibitors/regout-balance-systems-1
BBC Education,Hall: South Stand: SN49,United Kingdom,https://www.bbc.co.uk/bitesize,,,,,https://uk.bettshow.com/exhibitors/bbc-education
"Beijing Huacan Electronics Co., Ltd.",Hall: North Stand: NH51,China,,,,,,https://uk.bettshow.com/exhibitors/beijing-huacan-electronics-co-
BenMaker Early Age Education Equipment Industry Trade and Services Inc.,Hall: North Stand: NH13,Türkiye,https://www.benmaker.com/,maker@benmaker.com,,,,https://uk.bettshow.com/exhibitors/benmaker-early-age-education-equipment-industry-trade-services-inc
BenQ,Hall: North Stand: NF20,United Kingdom,https://www.benq.com/en-us/index.html,,,+1-866-600-2367,+1-888-512-2367,https://uk.bettshow.com/exhibitors/benq
Binary Logic S.A.,Hall: South Stand: SK20,Greece,http://www.binarylogic.net,,,,,https://uk.bettshow.com/exhibitors/binary-logic-s
Biorhythms.Exercise.Nutrition Ltd,Hall: South Stand: FS14,United Kingdom,,,,,,https://uk.bettshow.com/exhibitors/biorhythmsexercisenutrition
Blocksi,Hall: South Stand: SF72,United States,https://blocksi.net/,sales@blocksi.net,support@blocksi.net,+1 877 693 4822,,https://uk.bettshow.com/exhibitors/blocksi-inc
"Booster Robotics Technology Co.,Ltd.",Hall: North Stand: NK40,China,,,,,,https://uk.bettshow.com/exhibitors/booster-robotics-technology-co
Brisk Teaching,Hall: South Stand: SS55,United States,,,,,,https://uk.bettshow.com/exhibitors/brisk-teaching
British Heart Foundation,Hall: South Stand: SR85,United Kingdom,https://www.bhf.org.uk/,,,+443003303322,0300 330 3322,https://uk.bettshow.com/exhibitors/british-heart-foundation
Bromcom,Hall: South Stand: SG20,United Kingdom,https://bromcom.com/,discoverycallwithbromcomsingleschools@bromcom.com,discoverycallwithbromcomlargemats@bromcom.com,02082907100,02082907171,https://uk.bettshow.com/exhibitors/bromcom-2
BUSINESS FRANCE,Hall: North Stand: NE71,France,https://www.businessfrance.fr/,,,,,https://uk.bettshow.com/exhibitors/business-france
CABRILOG SAS,Hall: South Stand: SK72,France,https://cabri.com,info@cabri.com,support@cabri.com,,,https://uk.bettshow.com/exhibitors/cabrilog-sas
Canva Education,Hall: South Stand: SN20,Australia,https://canva.com,,,,,https://uk.bettshow.com/exhibitors/canva-pty
"CardExchange Solutions, LLC","Hall: Hall North, South Stand: NA70",United States,,,,,,https://uk.bettshow.com/exhibitors/cardexchange-solutions-llc
Carolina Science,Hall: South Stand: SL74,United States,https://www.carolina.com/,,,,,https://uk.bettshow.com/exhibitors/carolina-biological-supply-company
"Chair Meister Co., Ltd.",Hall: North Stand: NF51,"Korea, Republic of",,,,,,https://uk.bettshow.com/exhibitors/chair-meister-co-
"Children, Interaction, and Design Group",Hall: North Stand: NL72,United Kingdom,https://www.oxford-educational.tech/,info@oxford-educational.co.uk,harry@oxford-educational.co.uk,,,https://uk.bettshow.com/exhibitors/children-interaction-design-group
"CHINA DIDAC CO., LTD","Hall: Hall North, South Stand: NE50",China,,,,,,https://uk.bettshow.com/exhibitors/china-didac-co
Clarion Communication Management Ltd,Hall: South Stand: SF10,United Kingdom,https://clarioncomms.com/,info@clarioncomms.com,jamie.flett@clarioncomms.com,03332226635,,https://uk.bettshow.com/exhibitors/clarion-communication-management
ClassDojo,Hall: South Stand: SK62,United States,https://www.classdojo.com/,security@classdojo.com,,,,https://uk.bettshow.com/exhibitors/classdojo
Classera Inc.,Hall: North Stand: NE62,United States,https://www.classera.com/en/,johndoe@creativelayers.com,,+1 (414) 687 - 5892,,https://uk.bettshow.com/exhibitors/classera-inc
ClassLink Inc.,Hall: South Stand: SN60,United States,https://www.classlink.com/,,,+18889637550,+448002088170,https://uk.bettshow.com/exhibitors/classlink
Classroomscreen,Hall: South Stand: SL71,Netherlands,,,,,,https://uk.bettshow.com/exhibitors/classroomscreen
ClassVR,Hall: North Stand: NL30,United Kingdom,https://www.avantiseducation.com/,sales@avantiseducation.com,,1 888 398 4492,,https://uk.bettshow.com/exhibitors/classvr
Clever Inc.,Sponsor,United States,https://www.clever.com/,,,,,https://uk.bettshow.com/exhibitors/clever-inc-1
Cloud Design Box Ltd,Hall: South Stand: SL41,United Kingdom,https://clouddesignbox.co.uk/,info@clouddesignbox.co.uk,,01482688890,,https://uk.bettshow.com/exhibitors/cloud-design-box-1
Codemonkey,Hall: South Stand: SS56,Israel,http://www.playcodemonkey.com,,,,,https://uk.bettshow.com/exhibitors/codemonkey-studios-1
Cognicise Teknoloji A.Ş,Hall: South Stand: SM76,Türkiye,,,,,,https://uk.bettshow.com/exhibitors/cognicise-teknoloji-s
Community Playthings,Hall: North Stand: NJ71,United Kingdom,https://www.communityplaythings.co.uk/,,,0800387457,+441580883310,https://uk.bettshow.com/exhibitors/community-playthings
Compass International Limited,Hall: South Stand: SG41,United Kingdom,https://www.compass.education/,,,61390055217,61861418711,https://uk.bettshow.com/exhibitors/compass-education
Compro Technologies Private Limited,Hall: South Stand: SR50,India,https://www.comprotechnologies.com/,,,,,https://uk.bettshow.com/exhibitors/compro-technologies-private-limited
Cosafe Technology AB,Hall: South Stand: SF71,Sweden,https://cosafe.com/sv/,info@cosafe.com,support@cosafe.com,+46840940020,,https://uk.bettshow.com/exhibitors/cosafe-technology-ab
CPOMS Systems Limited,Hall: South Stand: SN63,United Kingdom,https://www.cpoms.co.uk/,,,,,https://uk.bettshow.com/exhibitors/cpoms-systems-limited
CRB Cunninghams,Hall: South Stand: SF91,United Kingdom,,,,,,https://uk.bettshow.com/exhibitors/crb-cunninghams
"Creverse, Inc.",Hall: South Stand: SM71,"Korea, Republic of",,,,,,https://uk.bettshow.com/exhibitors/creverse
Crick Software Ltd,Hall: North Stand: NK83,United Kingdom,https://cricksoft.com/,info@cricksoft.com,usinfo@cricksoft.com,+441604671691,2032212697,https://uk.bettshow.com/exhibitors/crick-software
D-Tech International Ltd,Hall: North Stand: NF70,United Kingdom,,,,,,https://uk.bettshow.com/exhibitors/d-tech
Danubius Expert Zrt.,Hall: South Stand: SP83,Hungary,https://danubius.io/en,daniel.tari@danubius.io,karoly.halmosi@danubius.io,+36206634191,+36207773522,https://uk.bettshow.com/exhibitors/danubius-solutions
Data Harvest,Hall: North Stand: NN20,United Kingdom,https://www.data-harvest.co.uk/,,,+44 (0) 1525 373666,,https://uk.bettshow.com/exhibitors/data-harvest-1
Deesha,Hall: South Stand: FS7,United Kingdom,https://www.deesha.ai,contact@deesha.ai,,,,https://uk.bettshow.com/exhibitors/ei-square
Dell Technologies,Hall: North Stand: NE20,United Kingdom,https://www.dell.com/en-us,windowsstudentoffer@microsoft.com,,,,https://uk.bettshow.com/exhibitors/dell-corporation-limited
Devices for Education by HardSoft,Hall: North Stand: NM42,United Kingdom,https://devicesforteams.hardsoftcomputers.co.uk/devices-for-education/,,,,,https://uk.bettshow.com/exhibitors/devices-education-hardsoft
Dily,Hall: South Stand: SP89,Türkiye,,,,,,https://uk.bettshow.com/exhibitors/dily
Docex 360,Hall: South Stand: SG75,United Kingdom,,,,,,https://uk.bettshow.com/exhibitors/docex-360
DOHE GLOBAL PTE. LTD.,Sponsor,Singapore,https://www.doheglobal.com/,,,,,https://uk.bettshow.com/exhibitors/dohe-global-pte-
Dynamo Maths,Hall: South Stand: SR10,United Kingdom,http://www.futurelearn.com,,,,,https://uk.bettshow.com/exhibitors/dynamo-maths
EcoArmor,"Hall: Hall North, South Stand: NL41",Netherlands,,,,,,https://uk.bettshow.com/exhibitors/ecoarmor
EditAI,Hall: South Stand: SR72,Lithuania,https://editai.co,hello@readymag.com,edu@readymag.com,,,https://uk.bettshow.com/exhibitors/edit-ai
Edpuzzle,Hall: South Stand: SM41,United States,https://edpuzzle.com/,,,,,https://uk.bettshow.com/exhibitors/edpuzzle-inc
Edubba,Hall: South Stand: SK81,Poland,,,,,,https://uk.bettshow.com/exhibitors/edubba
Education Today,Hall: South Stand: SS62,United Kingdom,http://www.education-today.co.uk,,,,,https://uk.bettshow.com/exhibitors/education-today
Eduflix,Hall: South Stand: SN11,Sweden,https://eduflix.com/,info@eduflix.com,sales@eduflix.com,,,https://uk.bettshow.com/exhibitors/eduflix-group-ab
EDUSOFX,Hall: South Stand: SN82,United Arab Emirates,,,,,,https://uk.bettshow.com/exhibitors/edusofx
EduTech Global,Hall: South Stand: SN85,Nigeria,,,,,,https://uk.bettshow.com/exhibitors/edutech-global
Epson UK Ltd,Hall: North Stand: NK31,United Kingdom,https://www.epson.co.uk/en_GB,,,,,https://uk.bettshow.com/exhibitors/epson-uk
Equantech Solutions Private Limited,Hall: South Stand: SM81,India,,,,,,https://uk.bettshow.com/exhibitors/equantech-solutions-private-limited
ESET UK,Hall: South Stand: SF61,United Kingdom,https://www.eset.com/uk/,marketing@eset.co.uk,sales@eset.co.uk,+421 (2) 322 44 111,+421 (2) 322 44 109,https://uk.bettshow.com/exhibitors/eset-software-uk
Everybody Counts,Hall: South Stand: SL63,United Kingdom,https://everybodycounts.org.uk/,,,+4407563084060,,https://uk.bettshow.com/exhibitors/everybody-counts
Exa,Hall: South Stand: SE10,United Kingdom,https://exa.net.uk/,info@exa.net.uk,helpdesk@exa.net.uk,03451451234,,https://uk.bettshow.com/exhibitors/exa-networks
Exam.net,Hall: South Stand: SR74,Sweden,,,,,,https://uk.bettshow.com/exhibitors/examnet
Fastvue Ltd,Hall: South Stand: SH70,Australia,https://www.fastvue.co/,,,(+1) 916-409-6123,(+44) 0203 980 7234,https://uk.bettshow.com/exhibitors/fastvue
First Step Advisors,Hall: North Stand: NC60,United States,,,,,,https://uk.bettshow.com/exhibitors/usa-edtech
Flint,Hall: South Stand: SJ63,United States,,,,,,https://uk.bettshow.com/exhibitors/flint
FMSS Information Technology,Hall: South Stand: SE60,Türkiye,https://www.fmssedu.com/,,,,,https://uk.bettshow.com/exhibitors/fmss-bilisim-teknoloji-san-ve-tic
Fortifi Cyber,"Hall: Hall North, South Stand: SF81",United Kingdom,,,,,,https://uk.bettshow.com/exhibitors/fortifi-cyber
Fortinet UK Limited,Hall: South Stand: SG31,United Kingdom,,,,,,https://uk.bettshow.com/exhibitors/fortinet-uk-limited
Foxpass,"Hall: Hall North, South Stand: SE33",Netherlands,https://www.splashtop.com/,,,+1.408.886.7177,,https://uk.bettshow.com/exhibitors/foxpass
Futuresource Consulting,Hall: North Stand: NC10,United Kingdom,,,,,,https://uk.bettshow.com/exhibitors/futuresource-consulting
Gecko Labs Ltd,Hall: North Stand: NB53,United Kingdom,,,,,,https://uk.bettshow.com/exhibitors/gecko-labs
Global Ubt Ltd,Hall: South Stand: SE70,United Kingdom,,,,,,https://uk.bettshow.com/exhibitors/global-ubt
Globisens,Hall: North Stand: NH14,Israel,https://globisens.net/,info@globisens.com,,,,https://uk.bettshow.com/exhibitors/globisens
Google,Hall: South Stand: SJ20,United Kingdom,http://www.google.com,press@google.com,,,,https://uk.bettshow.com/exhibitors/google-uk-limited-2
Greenscreenbox,"Hall: Hall North, South Stand: NN52",Netherlands,https://greenscreenbox.nl/,,,06-40201296,,https://uk.bettshow.com/exhibitors/greenscreenbox
Grupo Etapa Educacional,Hall: South Stand: SM62,Brazil,,,,,,https://uk.bettshow.com/exhibitors/grupo-etapa-educacional
Heimdal Security AS,"Hall: Hall North, South Stand: SF62",Denmark,,,,,,https://uk.bettshow.com/exhibitors/heimdal-security
HP Inc,Hall: North Stand: NM30,United States,https://www.pencilspaces.com/,support@pencilspaces.com,,,,https://uk.bettshow.com/exhibitors/hp-inc-1
HPE Aruba,"Hall: Hall North, South Stand: SF31",United Kingdom,https://www.hpe.com/us/en/home.html,,,,,https://uk.bettshow.com/exhibitors/hpe-aruba
Hyett Education,Hall: South Stand: SR73,United Kingdom,https://Www.hyetteducation.com/,hello@hyetteducation.com,you@school.ac.uk,+447715579033,,https://uk.bettshow.com/exhibitors/hyett-education
i-Scream Media,Hall: South Stand: SN40,"Korea, Republic of",https://www.i-screammedia.com/,,,,,https://uk.bettshow.com/exhibitors/scream-media
iAM Compliant,Hall: South Stand: SG74,United Kingdom,https://www.iamcompliant.com/,support@iamcompliant.com,,,,https://uk.bettshow.com/exhibitors/iam-compliant
IBM,Sponsorship IBM,United States,,,,,,https://uk.bettshow.com/exhibitors/ibm
ICT Direct,Hall: North Stand: NH31,United Kingdom,http://www.ict-direct.co.uk,,,,,https://uk.bettshow.com/exhibitors/ict-direct
Indivitech,Hall: South Stand: SS13,Türkiye,,,,,,https://uk.bettshow.com/exhibitors/indivitech
Indota BV,Hall: North Stand: NG51,Netherlands,https://www.indota.com/,sales@indota.com,,,,https://uk.bettshow.com/exhibitors/indota-bv
Infento,Hall: North Stand: NM53,Netherlands,https://www.infento.com/,,,,,https://uk.bettshow.com/exhibitors/infento
Innovation First Trading SARL,Hall: North Stand: NN82,United Kingdom,https://www.vexrobotics.com,,,,,https://uk.bettshow.com/exhibitors/innovation-first-trading-sarl
Innovation First Trading SARL,Hall: North Stand: NN84,United Kingdom,https://www.vexrobotics.com,,,,,https://uk.bettshow.com/exhibitors/innovation-first-trading-sarl-1
Intel Corporation,Sponsor,United States,https://www.intel.com/content/www/us/en/education/intel-education.html,aiempowered@intel.com,,,,https://uk.bettshow.com/exhibitors/intel
Interactive365,Hall: South Stand: SL10,United Kingdom,,,,,,https://uk.bettshow.com/exhibitors/interactive365
Intuitivo,Hall: South Stand: SK71,Portugal,https://intuitivo.pt/,contact@intuitivo.pt,contacto@intuitivo.pt,,,https://uk.bettshow.com/exhibitors/intuitivo
InVentry Ltd,Hall: South Stand: SH60,United Kingdom,https://inventry.co.uk/,info@inventry.co.uk,,0113 322 9253,,https://uk.bettshow.com/exhibitors/inventry
IPEVO Corp.,Hall: North Stand: NL14,United Kingdom,https://global.ipevo.com/uk/,sales-uk@ipevo.com,,,,https://uk.bettshow.com/exhibitors/ipevo-
iREd Solutions Limited,Hall: North Stand: NH75,Hong Kong,,,,,,https://uk.bettshow.com/exhibitors/ired-solutions-limited
IRIS Education,Hall: South Stand: SE50,United Kingdom,https://www.iris.co.uk/education/,support@iris.co.uk,,03448155555,,https://uk.bettshow.com/exhibitors/iris-education
Italian Trade Agency,Hall: North Stand: NC70,Italy,https://www.ice.it/it,,,,,https://uk.bettshow.com/exhibitors/italian-trade-agency
IXL Learning,Hall: South Stand: SL72,United States,https://uk.ixl.com/,info@ixl.com,help@ixl.com,+442033185967,,https://uk.bettshow.com/exhibitors/ixl-learning
Jamf,Hall: North Stand: NK51,United Kingdom,,,,,,https://uk.bettshow.com/exhibitors/jamf-1
"JP Sá Couto, SA",Sponsor,Portugal,https://www.jpik.com/,info@jpik.com,,,,https://uk.bettshow.com/exhibitors/jp-sa-couto-sa
JRC Tech,Hall: South Stand: FS18,Estonia,,,,,,https://uk.bettshow.com/exhibitors/jrc-tech
Kahoot!,Hall: South Stand: SR20,Norway,,,,,,https://uk.bettshow.com/exhibitors/kahoot-1
Kaligo International Limited,Hall: South Stand: SP62,United Kingdom,https://www.kaligo-apps.com/for-whom/teacher/,hello@kaligo-apps.com,legal@learn-and-go.com,,,https://uk.bettshow.com/exhibitors/kaligo
Kami,Hall: South Stand: SK60,United States,https://www.kamiapp.com/,sales@kamiapp.com,support@kamiapp.com,,,https://uk.bettshow.com/exhibitors/kami-app
Kideo Tech,Hall: South Stand: SM12,Israel,https://www.vocatooki.com,,,,,https://uk.bettshow.com/exhibitors/kideo-tech
KidsCover,Hall: North Stand: NH71,Netherlands,,,,,,https://uk.bettshow.com/exhibitors/kidscover-1
KinderLib,Hall: North Stand: NJ90,Belgium,,,,,,https://uk.bettshow.com/exhibitors/kinderlib
KittenBot Robotics International Limited,Hall: South Stand: SM11,China,https://www.kittenbot.cc/,info@kittenbot.cc,support@kittenbot.cc,,,https://uk.bettshow.com/exhibitors/kittenbot-robotics-international-limited
Korea Scientific Instruments Industry Cooperative,"Hall: North Stand: NC50, NB50","Korea, Republic of",https://www.ksiic.or.kr/,ksiic@ksiic.or.kr,,,,https://uk.bettshow.com/exhibitors/korea-scientific-instruments-industry-cooperative
LapSafe,Hall: North Stand: NE60,United Kingdom,https://www.lapsafe.com/,sales@lapsafe.com,,+441787226166,,https://uk.bettshow.com/exhibitors/lapsafe-self-service-solutions
Learnetic S.A.,"Hall: South Stand: SK61, SK63",Poland,https://www.learnetic.com/,office@learnetic.com,,,,https://uk.bettshow.com/exhibitors/learnetic-s
LEGO Company Ltd.,Hall: North Stand: NK20,United Kingdom,https://education.lego.com/en-gb/,,,,,https://uk.bettshow.com/exhibitors/lego
Lenovo Technology (United Kingdom) Limited,Hall: North Stand: NJ20,United Kingdom,https://www.lenovo.com/education,,,,,https://uk.bettshow.com/exhibitors/lenovo-uk-ireland
LETSTUDY GROUP GP.,Hall: South Stand: SP87,Greece,,,,,,https://uk.bettshow.com/exhibitors/letstudy-group-gp
Liberator UK,"Hall: Hall North, South Stand: NK95",United Kingdom,https://www.liberator.co.uk,,,+44 (0)1733 370470,,https://uk.bettshow.com/exhibitors/liberator-uk
Lightspeed Systems,Hall: South Stand: SH40,United Kingdom,,,,,,https://uk.bettshow.com/exhibitors/lightspeed-systems
Linux Professional Institute Inc.,Hall: South Stand: SP10,Canada,https://www.lpi.org/,info@lpi.org,,,,https://uk.bettshow.com/exhibitors/linux-professional-institute-inc
Little Green Button,Hall: South Stand: SF83,United Kingdom,http://littlegreenbutton.com,,,,,https://uk.bettshow.com/exhibitors/little-green-button
Littlegarth MicroBotics,Hall: North Stand: NN80,United Kingdom,,,,,,https://uk.bettshow.com/exhibitors/littlegarth-microbotics
Locker,Hall: South Stand: SF60,United Kingdom,https://locker.co.uk,info@locker.co.uk,,,,https://uk.bettshow.com/exhibitors/locker-technology-limited-1
LocknCharge,Hall: North Stand: NH61,United Kingdom,https://www.lockncharge.com/,,,18889436803,,https://uk.bettshow.com/exhibitors/lockncharge
LogiBrothers,Hall: South Stand: SN12,"Korea, Republic of",https://codmos.io/go,,,,,https://uk.bettshow.com/exhibitors/logibrothers
Logitech UK,Hall: North Stand: NG60,United Kingdom,https://www.logitech.com/en-us,,,,,https://uk.bettshow.com/exhibitors/logitech-uk
Loudwater,Hall: South Stand: FS8,United Kingdom,https://loudwater.io/,hello@loudwater.io,,,,https://uk.bettshow.com/exhibitors/loudwater
Lucid Partnership LLP,Hall: South Stand: SD49,United Kingdom,https://lucidpartnership.co.uk,,,,,https://uk.bettshow.com/exhibitors/lucid-partnership-llp
Lumis Games Inc,Hall: South Stand: FS74,"Korea, Republic of",https://www.lumisgames.com,,,,,https://uk.bettshow.com/exhibitors/lumis-games-inc
Lynx Networks Ltd,Hall: South Stand: SJ11,United Kingdom,http://www.lynxnetworks.co.uk,,,,,https://uk.bettshow.com/exhibitors/lynx-networks-2
Lyreco,Hall: North Stand: NE42,United Kingdom,https://why.lyreco.com/,,,+448000858585,+353800882276,https://uk.bettshow.com/exhibitors/lyreco
Madlen.io,Hall: South Stand: SM70,Türkiye,https://madlen.io/,hello@madlen.io,,,,https://uk.bettshow.com/exhibitors/madlen-technology
Magic School Inc,Hall: South Stand: SR53,United States,,,,,,https://uk.bettshow.com/exhibitors/magic-school-inc
MAGICARD Ltd,"Hall: Hall North, South Stand: NG73",United Kingdom,http://bradycorp.com,,,,,https://uk.bettshow.com/exhibitors/magicard
Make Stuff Move Inc.,Hall: North Stand: NN51,Canada,,,,,,https://uk.bettshow.com/exhibitors/make-stuff-move-ampere
Maker & Coder,Hall: North Stand: NL70,United Arab Emirates,,,,,,https://uk.bettshow.com/exhibitors/maker-coder-1
markus,Hall: South Stand: SP11,United Kingdom,,,,,,https://uk.bettshow.com/exhibitors/markus
"MARUSYSedu, Inc.",Hall: North Stand: ND50,"Korea, Republic of",,,,,,https://uk.bettshow.com/exhibitors/marusysedu-inc
MasterSoft ERP Solutions,Hall: South Stand: SE43,India,,,,,,https://uk.bettshow.com/exhibitors/mastersoft-erp-solutions
"MATATALAB CO.,LTD",Hall: North Stand: NG40,China,https://www.matatastudio.com/,,,,,https://uk.bettshow.com/exhibitors/matatalab-co
Max Cases,Hall: North Stand: NF74,United Kingdom,,,,,,https://uk.bettshow.com/exhibitors/maxcases
McGraw Hill,Hall: South Stand: SR31,United Kingdom,https://www.mheducation.com:443/,,,1-800-331-5094,1-800-338-3987,https://uk.bettshow.com/exhibitors/mcgraw-hill
MediaTek Inc,Hall: North Stand: NH20,Taiwan (Province of China),https://www.mediatek.com/,,,886-2-6636-5566,886-2-2653-9180,https://uk.bettshow.com/exhibitors/mediatek-inc
Megaform SA,Hall: North Stand: NG50,Belgium,,,,,,https://uk.bettshow.com/exhibitors/megaform-sa
"Meter, Inc.","Hall: Hall North, South Stand: SD50",United States,,,,,,https://uk.bettshow.com/exhibitors/meter-inc
Microsoft WorldWide Education,Hall: South Stand: SM20,United States,https://www.microsoft.com/en-us/,,,,,https://uk.bettshow.com/exhibitors/microsoft-worldwide-education
Modality Learning AI,Hall: South Stand: SN86,United Kingdom,,,,,,https://uk.bettshow.com/exhibitors/modality-learning-ai
Monarch & LapCabby,Hall: North Stand: NG71,United Kingdom,,,,,,https://uk.bettshow.com/exhibitors/monarch-lapcabby
Mooka Media,Hall: South Stand: SM83,Ireland,,,,,,https://uk.bettshow.com/exhibitors/mooka-media
MORAVIA Consulting spol. s r.o.,Hall: North Stand: NL62,Czech Republic,https://moravia-consulting.com/,,,,,https://uk.bettshow.com/exhibitors/moravia-consulting-spol-s-ro
MOZAIK Education,Hall: South Stand: SK30,Hungary,https://www.mozaweb.com/captcha-check?r=OeMWFobN9tIzRpg%3D,30291571dc48ca9376c31b349a107bfe@www.mozaweb.com,,,,https://uk.bettshow.com/exhibitors/mozaik-education
MPS UK Group,Hall: North Stand: NL11,United Kingdom,https://www.mpsuk.net/,,,0800 999 6061,,https://uk.bettshow.com/exhibitors/mps
Mrs Wordsmith,Hall: South Stand: SN10,United Kingdom,,,,,,https://uk.bettshow.com/exhibitors/mrs-wordsmith
Muute,Hall: South Stand: SP40,Netherlands,,,,,,https://uk.bettshow.com/exhibitors/test-correct
"NAUTILUS, S.A.",Hall: North Stand: NL50,Portugal,http://www.nautilus.pt,,,,,https://uk.bettshow.com/exhibitors/nautilus-s
Net-Ctrl,Hall: South Stand: SG60,United Kingdom,http://www.net-ctrl.co.uk,,,,,https://uk.bettshow.com/exhibitors/net-ctrl-limited
NetSupport,Hall: South Stand: SH50,United Kingdom,http://www.netsupportsoftware.com,,,,,https://uk.bettshow.com/exhibitors/netsupport-2
Netsweeper,Hall: South Stand: SP30,Canada,,,,,,https://uk.bettshow.com/exhibitors/netsweeper
NIBRAS Al-Qasemi Academic College,Hall: South Stand: SK73,Israel,,,,,,https://uk.bettshow.com/exhibitors/nibras-al-qasemi-academic-college
Niryo Robotics,Hall: North Stand: NH73,France,,,,,,https://uk.bettshow.com/exhibitors/niryo
NXPower (UK) Ltd tas CyberPowerPC UK,Hall: North Stand: NH62,United Kingdom,,,,,,https://uk.bettshow.com/exhibitors/nxpower-uk-tas-cyberpowerpc-uk
Obitek,Hall: South Stand: FS48,United Kingdom,,,,,,https://uk.bettshow.com/exhibitors/obitek
OC Open Consulting SB Srl,"Hall: Hall North, South Stand: NA71",Italy,,,,,,https://uk.bettshow.com/exhibitors/oc-group
Odoo s.a.,Hall: South Stand: SR71,Belgium,https://www.odoo.com/,info@odoo.com,example@mail.com,+1(650)691-3277,+3222903490,https://uk.bettshow.com/exhibitors/odoo-s
